Product ID,SKU,Product Name,Category,Scale,Price Incl GST (₹),Base Price Excl GST (₹),GST Rate (%),HSN Code,MRP (₹),Discount (%),Stock (Units),Availability,Drivetrain,Top Speed,Motor Type,Battery Pack,Remote / Control,Dimensions,Weight,Age Group,Video Link,Primary Image URL,Gallery Images Count,Short Description,Full Technical Description
11,H989,"1:28 4WD Drift RC Car, Remote Control Metal Aluminium Chassis Radio Control Toy with USB Cable Included",Drift Cars,1:28,9998,8473,18,95030090,12498,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Alkaline AA,2.4 GHz Multi-Channel Transmitter,32 × 25 × 25 cm,1.2 kg,9 Years & up,N/A,N/A,0,"The H989 RC Car is a compact high-speed remote control car designed for exciting racing fun. With responsive controls and a durable build, it delivers smooth performance on various surfaces. Perfect for quick races and everyday RC entertainment, making it ideal for both beginners and RC car enthusiasts. 🚗","The H989 RC Car is a compact high-speed remote control car designed for exciting racing fun. With responsive controls and a durable build, it delivers smooth performance on various surfaces. Perfect for quick races and everyday RC entertainment, making it ideal for both beginners and RC car enthusiasts. 🚗"
12,H144016,1:14 Scale 4WD RC Racing Buggy 4X4 RTR With 390 Magnetic Brushed Motor and Independent Suspension,Buggies & Truggies,1:14,11248,9532,18,95030090,14060,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),4 channels (2.4 GHz),39 × 13 × 24 cm,2.5 kg,"8 to 13 Years, 14 Years & up",N/A,N/A,0,"Experience high-speed off-road action with our 1:14 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨","Experience high-speed off-road action with our 1:14 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨"
13,H144002,1:14 2.4G Racing RC Car 50KM/H 4WD Alloy Metal Electric High Speed Car Off-Road Drift Remote Control Toys with Light,Monster Trucks,1:14,17498,14829,18,95030090,21873,20,25,In Stock,4WD,50KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),4 channels (2.4 GHz),46 × 30 × 19 cm,2.9 kg,"2 to 4 Years, 5 to 7 years, 8 to 13 Years, 14 Years & up",N/A,N/A,0,"The 144002 RC Car is a powerful 1:14 scale 4WD off-road racing vehicle built for speed and durability. Featuring a strong motor, responsive 2.4GHz remote control, and rugged suspension system, it delivers smooth handling on rough terrains. Perfect for RC enthusiasts who enjoy high-speed performance and exciting off-road adventures. 🚗💨","The 144002 RC Car is a powerful 1:14 scale 4WD off-road racing vehicle built for speed and durability. Featuring a strong motor, responsive 2.4GHz remote control, and rugged suspension system, it delivers smooth handling on rough terrains. Perfect for RC enthusiasts who enjoy high-speed performance and exciting off-road adventures. 🚗💨"
14,H12402A,"1:12 High Speed 45KM/H Racing Climbing Rc off Road Car Electric Remote Control,4wd Rc Car",Monster Trucks,1:12,19998,16947,18,95030090,24998,20,25,In Stock,4WD,45km/h,Electric Brushed Motor,7.4V 1500mAh Lithium Battery,4 channels (2.4 GHz),55 × 35 × 25 cm,4.5 kg,"8 to 13 Years, 14 Years & up",N/A,N/A,0,"High-performance 1:12 High-Speed 4WD RC Off-Road Car with 45KM/H racing speed and powerful climbing capability. Designed for electric remote control driving on rough terrains, racing tracks, and outdoor adventures, perfect for hobby-grade RC fun. 🚗","High-performance 1:12 High-Speed 4WD RC Off-Road Car with 45KM/H racing speed and powerful climbing capability. Designed for electric remote control driving on rough terrains, racing tracks, and outdoor adventures, perfect for hobby-grade RC fun. 🚗"
15,H22201,1:22 Scale 2WD Vehicle Model Radio Control With Light Off Road 2.4G Remote Control High Speed 22KM/H RC Car,Monster Trucks,1:22,5748,4871,18,95030090,7185,20,25,In Stock,2WD,22KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,25 × 25 × 15 cm,1 kg,8+ Years,N/A,N/A,0,"The H22201 RC Car delivers exciting speed and precise remote control for a thrilling driving experience. Built with a durable body and reliable performance, it handles different surfaces with ease. Perfect for racing, drifting, and everyday RC fun, making it a great choice for both beginners and RC car enthusiasts. 🚗","The H22201 RC Car delivers exciting speed and precise remote control for a thrilling driving experience. Built with a durable body and reliable performance, it handles different surfaces with ease. Perfect for racing, drifting, and everyday RC fun, making it a great choice for both beginners and RC car enthusiasts. 🚗"
16,H184008B,1:18 60KM/H 4WD Oil Shock RC Cars Professional Monster Truck High Speed Drift Racing Remote Control Car for Boys,Monster Trucks,1:18,13748,11651,18,95030090,17185,20,25,In Stock,4WD,60KM/H,Electric Brushed Motor,7.4V 1200Mh 20C Lithium Battery,2.4 GHz Multi-Channel Transmitter,36 × 28 × 23 cm,2.5 kg,14 Years & up,N/A,N/A,0,"The H184008B RC Car delivers smooth control and exciting high-speed performance. Equipped with a reliable 2.4GHz remote system, it offers stable handling and responsive driving. Its durable design and strong tires make it ideal for racing, drifting, and fun outdoor RC adventures.","The H184008B RC Car delivers smooth control and exciting high-speed performance. Equipped with a reliable 2.4GHz remote system, it offers stable handling and responsive driving. Its durable design and strong tires make it ideal for racing, drifting, and fun outdoor RC adventures."
17,H104311,1:10 4WD Hobby Truck 4*4 Radio Control Rock Crawler Vehicle Toys Four Wheel Drive RTR 2.4G RC Big 4X4 Climbing Car,Off Road Crawlers,1:10,11998,10168,18,95030090,14998,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,58.5 × 34 × 33 cm,4.3 kg,8+ Years,N/A,N/A,0,"1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨","1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨"
18,H104001,1:10 Scale RC Car High Speed 4WD Drive Off-road Buggy Radio Control Electric Racing Car Toy Vehicle,Buggies & Truggies,1:10,20120,17051,18,95030090,25150,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),4 channels (2.4 GHz),47.5 × 27.5 × 14 cm,18.5 kg,"2 to 4 Years, 5 to 7 years, 8 to 13 Years, 14 Years & up",N/A,N/A,0,"Experience high-speed off-road action with our 1:10 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨","Experience high-speed off-road action with our 1:10 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨"
19,H104026-Y,1:10 Professional RC Car Off Road 4x4 2.4G 4WD Remote Control Cars 45 Minutes Working Time Climbing Car Adult Toy,Off Road Crawlers,1:10,41248,34956,18,95030090,51560,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,61 × 31 × 33 cm,13 kg,8+ Years,N/A,N/A,0,"1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨","1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨"
20,H284010,1:28 RC Car 4WD Remote Control Car High Speed Racing 2.4GHz Off-Road RTR Rally Drift Car Toys for Children,Drift Cars,1:28,11237,9523,18,95030090,14046,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,27 × 22 × 16 cm,1.5 kg,8+ Years,N/A,N/A,0,"The H284010 RC Car delivers exciting speed and smooth remote control handling for a thrilling driving experience. Built with a durable body and stable performance, it runs efficiently on different surfaces. Perfect for racing and everyday RC fun, making it a great choice for both beginners and RC car enthusiasts. 🚗","The H284010 RC Car delivers exciting speed and smooth remote control handling for a thrilling driving experience. Built with a durable body and stable performance, it runs efficiently on different surfaces. Perfect for racing and everyday RC fun, making it a great choice for both beginners and RC car enthusiasts. 🚗"
21,H104020-G,1:10 4WD Hobby Truck 4*4 Radio Control Rock Crawler Vehicle Toys Four Wheel Drive RTR 2.4G RC Big 4X4 Climbing Car,Off Road Crawlers,1:10,41248,34956,18,95030090,51560,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,60 × 33 × 35 cm,10 kg,8+ Years,N/A,N/A,0,"1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨","1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨"
22,H12427,1:12 4WD 2.4G 50KM/H High Speed Cars Monster Truck Radio Control RC Buggy RC Car Upgrade Version,Buggies & Truggies,1:12,19998,16947,18,95030090,24998,20,25,In Stock,4WD,50KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,56 × 29 × 25 cm,3.3 kg,8+ Years,N/A,N/A,0,"Experience high-speed off-road action with our 1:12 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨","Experience high-speed off-road action with our 1:12 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨"
23,H184008,1:18 60KM/H 4WD RC Cars Professional Monster Truck High Speed Drift Racing Remote Control Cars Kids Toy,Monster Trucks,1:18,12498,10592,18,95030090,15623,20,25,In Stock,4WD,60KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,32 × 25 × 15 cm,2.5 kg,8+ Years,N/A,N/A,0,"The H184008 RC Car is built for exciting speed and smooth remote-control performance. With a reliable 2.4GHz control system, it provides stable handling and responsive driving. Its durable body and strong tires make it perfect for racing, drifting, and outdoor RC adventures.","The H184008 RC Car is built for exciting speed and smooth remote-control performance. With a reliable 2.4GHz control system, it provides stable handling and responsive driving. Its durable body and strong tires make it perfect for racing, drifting, and outdoor RC adventures."
104010,H104010-B,1:10 4WD High Speed Brushless Monster Truck (Blue),Monster Trucks,1:10,11999,10169,18,95030090,15999,20,20,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,59.2 × 27.2 × 30 cm,5.9 kg,8+ Years,N/A,N/A,0,"1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨","1:10 Scale Off-Road RC Car built for speed, power, and rugged terrain. Designed with high-grip tires and a durable suspension system, it easily handles dirt, gravel, and rough tracks. Experience thrilling performance, precise control, and long-lasting fun—perfect for both beginners and RC enthusiasts who love off-road adventures. 🚗💨"
25,H104310,1:10 Suspended Double Straight Bridge Off-road Toy Car Electric Four-wheel Drive Climbing Racing Toy Car Model,Buggies & Truggies,1:10,11998,10168,18,95030090,14998,20,25,In Stock,4WD,10km/h,Electric Brushed Motor,7.4v-1200mah,4 channels (2.4 GHz),51 × 31 × 26 cm,2 kg,"8 to 13 Years, 14 Years & up",N/A,N/A,0,"Experience high-speed off-road action with our 1:10 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨","Experience high-speed off-road action with our 1:10 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨"
26,H104019,1:10 RC Car 2.4G 4WD 55KM/H High Brushless 2 CH Hobby Grade RC Car for Boys,Monster Trucks,1:10,24998,21185,18,95030090,31248,20,25,In Stock,4WD,5kmh,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,61 × 43 × 45 cm,13.5 kg,"8 to 13 Years, 14 Years & up",N/A,N/A,0,"Enjoy powerful performance with this 1:10 Scale 4WD Brushless RC Car featuring 2.4GHz control and speeds up to 55KM/H. Built for hobby-grade racing, it delivers strong power, smooth handling, and high-speed action, making it perfect for outdoor racing, drifting, and RC enthusiasts who love fast and exciting driving. 🚗💨","Enjoy powerful performance with this 1:10 Scale 4WD Brushless RC Car featuring 2.4GHz control and speeds up to 55KM/H. Built for hobby-grade racing, it delivers strong power, smooth handling, and high-speed action, making it perfect for outdoor racing, drifting, and RC enthusiasts who love fast and exciting driving. 🚗💨"
27,H184020-B,1:18 Electric Off-Road Climbing Vehicle 2.4GHz 4WD Rc Mountain Car with LED Lights Metal Material,Off Road Crawlers,1:18,6248,5295,18,95030090,7810,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,32 × 22 × 22 cm,2.6 kg,8+ Years,N/A,N/A,0,"The H184020-B RC Car is designed for fast, stable, and smooth remote-control performance. Featuring a reliable 2.4GHz control system, it ensures responsive handling and long-range operation. Its durable body and strong tires make it perfect for racing, drifting, and exciting outdoor RC adventures.","The H184020-B RC Car is designed for fast, stable, and smooth remote-control performance. Featuring a reliable 2.4GHz control system, it ensures responsive handling and long-range operation. Its durable body and strong tires make it perfect for racing, drifting, and exciting outdoor RC adventures."
28,H204006-O,1:20 High Speed RC Trail Truck 50KM/H Waterproof 4WD Car Dual Differentials 7.4V Li-ion Battery for Extreme Racing,Monster Trucks,1:20,10623,9003,18,95030090,13279,20,25,In Stock,4WD,50KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,33 × 22 × 25 cm,2 kg,8+ Years,N/A,N/A,0,"The H204006-O RC Car is built for thrilling speed and smooth remote control performance. Designed with a durable body and stable handling, it delivers exciting racing action on different surfaces. Its responsive controls and strong build make it perfect for both beginners and RC car enthusiasts who enjoy high-speed driving and fun adventures. 🚗","The H204006-O RC Car is built for thrilling speed and smooth remote control performance. Designed with a durable body and stable handling, it delivers exciting racing action on different surfaces. Its responsive controls and strong build make it perfect for both beginners and RC car enthusiasts who enjoy high-speed driving and fun adventures. 🚗"
29,BG1550-Y,1:20 Scale 4WD RC Pickup Truck SUV Car Off Road with Shock Absorber Water Resistant 2.4GHz Remote Control for Outdoor Fun,Monster Trucks,1:20,6248,5295,18,95030090,7810,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,45 × 24 × 35 cm,2.4 kg,8+ Years,N/A,N/A,0,"The BG1550-Y RC Car delivers exciting speed and responsive control for an engaging driving experience. Built with a durable body and stable performance, it handles different surfaces with ease. Perfect for racing, drifting, and everyday RC fun, making it a great choice for both beginners and hobby-grade RC car enthusiasts. 🚗","The BG1550-Y RC Car delivers exciting speed and responsive control for an engaging driving experience. Built with a durable body and stable performance, it handles different surfaces with ease. Perfect for racing, drifting, and everyday RC fun, making it a great choice for both beginners and hobby-grade RC car enthusiasts. 🚗"
30,H969,"1:28 4WD Drift RC Car, Remote Control Metal Aluminium Chassis Radio Control Toy with USB Cable Included",Drift Cars,1:28,9998,8473,18,95030090,12498,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,32 × 25 × 25 cm,1.2 kg,8+ Years,N/A,N/A,0,"The H969 RC Car is built for high-speed action and smooth remote control performance. With a durable design and stable handling, it runs efficiently on various surfaces. Perfect for racing and outdoor fun, making it a great choice for beginners and RC car enthusiasts alike. 🚗","The H969 RC Car is built for high-speed action and smooth remote control performance. With a durable design and stable handling, it runs efficiently on various surfaces. Perfect for racing and outdoor fun, making it a great choice for beginners and RC car enthusiasts alike. 🚗"
31,2464500-DBU,1:24 Redbull F1 RB19,Collectables,1:24,3999,3389,18,95030090,4999,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,25 × 12 × 11 cm,1 kg,8+ Years,N/A,N/A,0,"Premium 1:24 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:24 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
32,1843800-B,1:18 Bentley Mulsanne Champagne,Collectables,1:18,8999,7626,18,95030090,11249,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,32 × 16 × 14 cm,1.3 kg,8+ Years,N/A,N/A,0,"Premium 1:18 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection.","Premium 1:18 scale collectible car models crafted for enthusiasts and collectors. Designed with precision detailing, realistic proportions, and high-quality materials, these models capture the spirit of iconic automobiles. Perfect for display, gifting, or building a stunning collection."
